order_index,segment_id,speaker_label,mapped_participant,start_ms,end_ms,duration_ms,overlap_previous_ms,start_ge_end,mapping_source,mapping_confidence
0,cmrj4b6r90001jrm119hp0tr4,speaker_1,participant_2,0,700,700,0,false,CLUSTER_MAPPING,
1,cmrj4b6r90002jrm17i064006,speaker_2,participant_1,0,2673,2673,700,false,CLUSTER_MAPPING,
2,cmrj4b6ra0003jrm1n6f22704,speaker_1,participant_2,700,5020,4320,1973,false,CLUSTER_MAPPING,
3,cmrj4b6ra0004jrm18c2bd66q,speaker_2,participant_1,2673,6640,3967,2347,false,CLUSTER_MAPPING,
4,cmrj4b6ra0005jrm19x1ctkhv,speaker_2,participant_1,6640,15570,8930,0,false,CLUSTER_MAPPING,
5,cmrj4b6ra0006jrm1ayzxqszl,speaker_1,participant_2,5020,19640,14620,10550,false,CLUSTER_MAPPING,
6,cmrj4b6ra0007jrm11y5k46i5,speaker_2,participant_1,15570,21529,5959,4070,false,CLUSTER_MAPPING,
7,cmrj4b6ra0008jrm1wqtp3ecx,speaker_1,participant_2,19640,22480,2840,1889,false,CLUSTER_MAPPING,
8,cmrj4b6ra0009jrm127xscigu,speaker_2,participant_1,21529,27550,6021,951,false,CLUSTER_MAPPING,
9,cmrj4b6ra000ajrm1w18fhe7g,speaker_1,participant_2,22480,29449,6969,5070,false,CLUSTER_MAPPING,
10,cmrj4b6ra000bjrm1df23z9et,speaker_2,participant_1,27550,30859,3309,1899,false,CLUSTER_MAPPING,
11,cmrj4b6ra000cjrm1rrtnp6ob,speaker_1,participant_2,29449,42930,13481,1410,false,CLUSTER_MAPPING,
12,cmrj4b6ra000djrm1k7olt02h,speaker_2,participant_1,30859,53149,22290,12071,false,CLUSTER_MAPPING,
13,cmrj4b6ra000ejrm1lwa8asp2,speaker_1,participant_2,42930,61710,18780,10219,false,CLUSTER_MAPPING,
14,cmrj4b6ra000fjrm1g626k9wh,speaker_1,participant_2,61710,69500,7790,0,false,CLUSTER_MAPPING,
15,cmrj4b6ra000gjrm1tz6p9f8z,speaker_2,participant_1,53149,77740,24591,16351,false,CLUSTER_MAPPING,
16,cmrj4b6ra000hjrm16w6nx3oh,speaker_1,participant_2,69500,84090,14590,8240,false,CLUSTER_MAPPING,
17,cmrj4b6ra000ijrm12henkn0t,speaker_2,participant_1,77740,87040,9300,6350,false,CLUSTER_MAPPING,
18,cmrj4b6ra000jjrm1hp5gxvy0,speaker_1,participant_2,84090,91189,7099,2950,false,CLUSTER_MAPPING,
19,cmrj4b6ra000kjrm166yd1bk8,speaker_2,participant_1,87040,94159,7119,4149,false,CLUSTER_MAPPING,
20,cmrj4b6ra000ljrm1e5b5q73a,speaker_1,participant_2,91189,98633,7444,2970,false,CLUSTER_MAPPING,
21,cmrj4b6ra000mjrm1mxv3rhul,speaker_2,participant_1,94159,102259,8100,4474,false,CLUSTER_MAPPING,
