provider_index,result_type,start_ms,end_ms,duration_ms,speaker_label,word_count,has_word_timestamps,first_word_start_ms,last_word_end_ms,overlaps_previous,overlap_ms,source_order_monotonic,partial_or_final
0,provider_normalized_segment_proxy,0,700,700,speaker_1,,unknown,,,false,0,true,unknown
1,provider_normalized_segment_proxy,0,2673,2673,speaker_2,,unknown,,,true,700,true,unknown
2,provider_normalized_segment_proxy,700,5020,4320,speaker_1,,unknown,,,true,1973,true,unknown
3,provider_normalized_segment_proxy,2673,6640,3967,speaker_2,,unknown,,,true,2347,true,unknown
4,provider_normalized_segment_proxy,6640,15570,8930,speaker_2,,unknown,,,false,0,true,unknown
5,provider_normalized_segment_proxy,5020,19640,14620,speaker_1,,unknown,,,true,10550,false,unknown
6,provider_normalized_segment_proxy,15570,21529,5959,speaker_2,,unknown,,,true,4070,true,unknown
7,provider_normalized_segment_proxy,19640,22480,2840,speaker_1,,unknown,,,true,1889,true,unknown
8,provider_normalized_segment_proxy,21529,27550,6021,speaker_2,,unknown,,,true,951,true,unknown
9,provider_normalized_segment_proxy,22480,29449,6969,speaker_1,,unknown,,,true,5070,true,unknown
10,provider_normalized_segment_proxy,27550,30859,3309,speaker_2,,unknown,,,true,1899,true,unknown
11,provider_normalized_segment_proxy,29449,42930,13481,speaker_1,,unknown,,,true,1410,true,unknown
12,provider_normalized_segment_proxy,30859,53149,22290,speaker_2,,unknown,,,true,12071,true,unknown
13,provider_normalized_segment_proxy,42930,61710,18780,speaker_1,,unknown,,,true,10219,true,unknown
14,provider_normalized_segment_proxy,61710,69500,7790,speaker_1,,unknown,,,false,0,true,unknown
15,provider_normalized_segment_proxy,53149,77740,24591,speaker_2,,unknown,,,true,16351,false,unknown
16,provider_normalized_segment_proxy,69500,84090,14590,speaker_1,,unknown,,,true,8240,true,unknown
17,provider_normalized_segment_proxy,77740,87040,9300,speaker_2,,unknown,,,true,6350,true,unknown
18,provider_normalized_segment_proxy,84090,91189,7099,speaker_1,,unknown,,,true,2950,true,unknown
19,provider_normalized_segment_proxy,87040,94159,7119,speaker_2,,unknown,,,true,4149,true,unknown
20,provider_normalized_segment_proxy,91189,98633,7444,speaker_1,,unknown,,,true,2970,true,unknown
21,provider_normalized_segment_proxy,94159,102259,8100,speaker_2,,unknown,,,true,4474,true,unknown
