order_index,start_ms,end_ms,duration_ms,displayed_start,displayed_end,speechkit_label,source_provider_count,word_count,overlap_previous_ms,overlap_next_ms,participant_1_mic_overlap_ratio,participant_2_mic_overlap_ratio,participant_1_remote_overlap_ratio,participant_2_remote_overlap_ratio,combined_best_participant,combined_confidence,simultaneous_activity_ratio,no_activity_ratio,ambiguous,likely_issue_category
0,0,700,700,00:00:00,00:00:00,speaker_1,1,,0,700,0.0,0.091,1.0,0.0,participant_1,0.5,0.046,0.5,false,mapping_algorithm_insufficient
1,0,2673,2673,00:00:00,00:00:02,speaker_2,1,,700,1973,0.0,0.024,0.812,0.0,participant_1,0.406,0.012,0.594,false,raw_provider_overlap
2,700,5020,4320,00:00:00,00:00:05,speaker_1,1,,1973,2347,0.0,0.353,0.637,0.218,participant_1,0.319,0.285,0.681,true,raw_provider_overlap
3,2673,6640,3967,00:00:02,00:00:06,speaker_2,1,,2347,0,0.0,0.637,0.429,0.461,participant_2,0.549,0.215,0.451,false,raw_provider_overlap
4,6640,15570,8930,00:00:06,00:00:15,speaker_2,1,,0,10550,0.0,0.473,0.357,0.469,participant_2,0.471,0.178,0.529,false,mapping_algorithm_insufficient
5,5020,19640,14620,00:00:05,00:00:19,speaker_1,1,,10550,4070,0.0,0.511,0.471,0.399,participant_2,0.455,0.235,0.545,false,raw_provider_overlap
6,15570,21529,5959,00:00:15,00:00:21,speaker_2,1,,4070,1889,0.0,0.378,0.55,0.445,participant_2,0.411,0.275,0.589,false,raw_provider_overlap
7,19640,22480,2840,00:00:19,00:00:22,speaker_1,1,,1889,951,0.0,0.0,0.0,1.0,participant_2,0.5,0.0,0.5,false,raw_provider_overlap
8,21529,27550,6021,00:00:21,00:00:27,speaker_2,1,,951,5070,0.0,0.478,0.379,0.87,participant_2,0.674,0.189,0.326,false,raw_provider_overlap
9,22480,29449,6969,00:00:22,00:00:29,speaker_1,1,,5070,1899,0.0,0.685,0.6,0.615,participant_2,0.65,0.3,0.35,false,raw_provider_overlap
10,27550,30859,3309,00:00:27,00:00:30,speaker_2,1,,1899,1410,0.0,0.832,1.0,0.0,participant_1,0.5,0.416,0.5,true,raw_provider_overlap
11,29449,42930,13481,00:00:29,00:00:42,speaker_1,1,,1410,12071,0.0,0.558,0.332,0.792,participant_2,0.675,0.166,0.325,false,raw_provider_overlap
12,30859,53149,22290,00:00:30,00:00:53,speaker_2,1,,12071,10219,0.0,0.519,0.413,0.617,participant_2,0.568,0.206,0.432,false,raw_provider_overlap
13,42930,61710,18780,00:00:42,00:01:01,speaker_1,1,,10219,0,0.0,0.424,0.533,0.473,participant_2,0.448,0.266,0.552,false,raw_provider_overlap
14,61710,69500,7790,00:01:01,00:01:09,speaker_1,1,,0,16351,0.0,0.76,0.776,0.317,participant_2,0.539,0.388,0.461,false,both_participants_active
15,53149,77740,24591,00:00:53,00:01:17,speaker_2,1,,16351,8240,0.0,0.667,0.441,0.606,participant_2,0.637,0.221,0.363,false,raw_provider_overlap
16,69500,84090,14590,00:01:09,00:01:24,speaker_1,1,,8240,6350,0.0,0.509,0.106,0.889,participant_2,0.699,0.053,0.301,false,raw_provider_overlap
17,77740,87040,9300,00:01:17,00:01:27,speaker_2,1,,6350,2950,0.0,0.246,0.383,0.696,participant_2,0.471,0.191,0.529,false,raw_provider_overlap
18,84090,91189,7099,00:01:24,00:01:31,speaker_1,1,,2950,4149,0.0,0.894,1.0,0.017,participant_1,0.5,0.456,0.5,true,raw_provider_overlap
19,87040,94159,7119,00:01:27,00:01:34,speaker_2,1,,4149,2970,0.0,0.607,0.676,0.27,participant_2,0.439,0.338,0.561,false,raw_provider_overlap
20,91189,98633,7444,00:01:31,00:01:38,speaker_1,1,,2970,4474,0.0,0.522,0.235,0.86,participant_2,0.691,0.118,0.309,false,raw_provider_overlap
21,94159,102259,8100,00:01:34,00:01:42,speaker_2,1,,4474,0,0.0,0.816,0.395,0.747,participant_2,0.782,0.197,0.218,false,raw_provider_overlap
