stage,activity_source,speechkit_label,participant,total_label_duration_ms,overlapped_activity_ms,overlap_ratio,exclusive_overlap_ms,simultaneous_overlap_ms,uncovered_duration_ms,segment_count,activity_interval_count,ambiguity_score
raw_provider_proxy,VOXIMPLANT_MIC_ACTIVITY,speaker_1,participant_1,98633,0,0.0,0,0,98633,11,0,0.464
raw_provider_proxy,VOXIMPLANT_MIC_ACTIVITY,speaker_1,participant_2,98633,52910,0.536,52910,0,45723,11,24,0.464
raw_provider_proxy,VOXIMPLANT_MIC_ACTIVITY,speaker_2,participant_1,102259,0,0.0,0,0,102259,11,0,0.453
raw_provider_proxy,VOXIMPLANT_MIC_ACTIVITY,speaker_2,participant_2,102259,55894,0.547,55894,0,46365,11,24,0.453
raw_provider_proxy,VOX_REMOTE_STREAM_ACTIVITY,speaker_1,participant_1,98633,45435,0.461,0,45435,53198,11,15,0.899
raw_provider_proxy,VOX_REMOTE_STREAM_ACTIVITY,speaker_1,participant_2,98633,55420,0.562,9985,45435,43213,11,14,0.899
raw_provider_proxy,VOX_REMOTE_STREAM_ACTIVITY,speaker_2,participant_1,102259,47545,0.465,0,47545,54714,11,15,0.908
raw_provider_proxy,VOX_REMOTE_STREAM_ACTIVITY,speaker_2,participant_2,102259,57000,0.557,9455,47545,45259,11,14,0.908
persisted_segments,VOXIMPLANT_MIC_ACTIVITY,speaker_1,participant_1,98633,0,0.0,0,0,98633,11,0,0.464
persisted_segments,VOXIMPLANT_MIC_ACTIVITY,speaker_1,participant_2,98633,52910,0.536,52910,0,45723,11,24,0.464
persisted_segments,VOXIMPLANT_MIC_ACTIVITY,speaker_2,participant_1,102259,0,0.0,0,0,102259,11,0,0.453
persisted_segments,VOXIMPLANT_MIC_ACTIVITY,speaker_2,participant_2,102259,55894,0.547,55894,0,46365,11,24,0.453
persisted_segments,VOX_REMOTE_STREAM_ACTIVITY,speaker_1,participant_1,98633,45435,0.461,0,45435,53198,11,15,0.899
persisted_segments,VOX_REMOTE_STREAM_ACTIVITY,speaker_1,participant_2,98633,55420,0.562,9985,45435,43213,11,14,0.899
persisted_segments,VOX_REMOTE_STREAM_ACTIVITY,speaker_2,participant_1,102259,47545,0.465,0,47545,54714,11,15,0.908
persisted_segments,VOX_REMOTE_STREAM_ACTIVITY,speaker_2,participant_2,102259,57000,0.557,9455,47545,45259,11,14,0.908
persisted_segments,COMBINED,speaker_1,participant_1,98633,45435,0.461,0,45435,53198,11,15,0.617
persisted_segments,COMBINED,speaker_1,participant_2,98633,83188,0.843,37753,45435,15445,11,16,0.617
persisted_segments,COMBINED,speaker_2,participant_1,102259,47545,0.465,0,47545,54714,11,15,0.616
persisted_segments,COMBINED,speaker_2,participant_2,102259,86814,0.849,39269,47545,15445,11,16,0.616
