order_index,normalized_start_ms,normalized_end_ms,duration_ms,speaker_label,source_provider_count,source_provider_start_index,source_provider_end_index,word_count,merge_reason,split_reason,overlap_previous_ms,overlap_next_ms,timeline_type,crosses_pause_seam,provider_overlap_preserved,application_overlap_added
0,0,700,700,speaker_1,1,0,0,,none,none,0,700,active_audio,false,false,false
1,0,2673,2673,speaker_2,1,1,1,,none,none,700,1973,active_audio,false,true,false
2,700,5020,4320,speaker_1,1,2,2,,none,none,1973,2347,active_audio,false,true,false
3,2673,6640,3967,speaker_2,1,3,3,,none,none,2347,0,active_audio,false,true,false
4,6640,15570,8930,speaker_2,1,4,4,,none,none,0,10550,active_audio,false,false,false
5,5020,19640,14620,speaker_1,1,5,5,,none,none,10550,4070,active_audio,false,true,false
6,15570,21529,5959,speaker_2,1,6,6,,none,none,4070,1889,active_audio,false,true,false
7,19640,22480,2840,speaker_1,1,7,7,,none,none,1889,951,active_audio,false,true,false
8,21529,27550,6021,speaker_2,1,8,8,,none,none,951,5070,active_audio,false,true,false
9,22480,29449,6969,speaker_1,1,9,9,,none,none,5070,1899,active_audio,false,true,false
10,27550,30859,3309,speaker_2,1,10,10,,none,none,1899,1410,active_audio,false,true,false
11,29449,42930,13481,speaker_1,1,11,11,,none,none,1410,12071,active_audio,false,true,false
12,30859,53149,22290,speaker_2,1,12,12,,none,none,12071,10219,active_audio,false,true,false
13,42930,61710,18780,speaker_1,1,13,13,,none,none,10219,0,active_audio,true,true,false
14,61710,69500,7790,speaker_1,1,14,14,,none,none,0,16351,active_audio,false,false,false
15,53149,77740,24591,speaker_2,1,15,15,,none,none,16351,8240,active_audio,true,true,false
16,69500,84090,14590,speaker_1,1,16,16,,none,none,8240,6350,active_audio,false,true,false
17,77740,87040,9300,speaker_2,1,17,17,,none,none,6350,2950,active_audio,false,true,false
18,84090,91189,7099,speaker_1,1,18,18,,none,none,2950,4149,active_audio,false,true,false
19,87040,94159,7119,speaker_2,1,19,19,,none,none,4149,2970,active_audio,false,true,false
20,91189,98633,7444,speaker_1,1,20,20,,none,none,2970,4474,active_audio,false,true,false
21,94159,102259,8100,speaker_2,1,21,21,,none,none,4474,0,active_audio,false,true,false
