order_index,provider_active_start_ms,provider_active_end_ms,restored_original_start_ms,restored_original_end_ms,restoration_offset_ms,retained_interval_index,crosses_pause_seam,original_overlap_before_restoration_ms,overlap_after_restoration_ms
0,0,700,0,700,0,0,false,0,0
1,0,2673,0,2673,0,0,false,700,700
2,700,5020,700,5020,0,0,false,1973,1973
3,2673,6640,2673,6640,0,0,false,2347,2347
4,6640,15570,6640,15570,0,0,false,0,0
5,5020,19640,5020,19640,0,0,false,10550,10550
6,15570,21529,15570,21529,0,0,false,4070,4070
7,19640,22480,19640,22480,0,0,false,1889,1889
8,21529,27550,21529,27550,0,0,false,951,951
9,22480,29449,22480,29449,0,0,false,5070,5070
10,27550,30859,27550,30859,0,0,false,1899,1899
11,29449,42930,29449,42930,0,0,false,1410,1410
12,30859,53149,30859,53149,0,0,false,12071,12071
13,42930,61710,42930,72536,0,0,true,10219,10219
14,61710,69500,72536,80326,10826,1,false,0,0
15,53149,77740,53149,88566,0,0,true,16351,27177
16,69500,84090,80326,94916,10826,1,false,8240,8240
17,77740,87040,88566,97866,10826,1,false,6350,6350
18,84090,91189,94916,102015,10826,1,false,2950,2950
19,87040,94159,97866,104985,10826,1,false,4149,4149
20,91189,98633,102015,109459,10826,1,false,2970,2970
21,94159,102259,104985,113085,10826,1,false,4474,4474
