order_index,start_ms,end_ms,displayed_start,displayed_end,duration_ms,appears_zero_length,actual_overlap_previous_ms,display_exaggerates_overlap,display_only_issue
0,0,700,00:00:00,00:00:00,700,true,0,false,true
1,0,2673,00:00:00,00:00:02,2673,false,700,true,false
2,700,5020,00:00:00,00:00:05,4320,false,1973,true,false
3,2673,6640,00:00:02,00:00:06,3967,false,2347,true,false
4,6640,15570,00:00:06,00:00:15,8930,false,0,false,false
5,5020,19640,00:00:05,00:00:19,14620,false,10550,true,false
6,15570,21529,00:00:15,00:00:21,5959,false,4070,true,false
7,19640,22480,00:00:19,00:00:22,2840,false,1889,true,false
8,21529,27550,00:00:21,00:00:27,6021,false,951,true,false
9,22480,29449,00:00:22,00:00:29,6969,false,5070,true,false
10,27550,30859,00:00:27,00:00:30,3309,false,1899,true,false
11,29449,42930,00:00:29,00:00:42,13481,false,1410,true,false
12,30859,53149,00:00:30,00:00:53,22290,false,12071,true,false
13,42930,61710,00:00:42,00:01:01,18780,false,10219,true,false
14,61710,69500,00:01:01,00:01:09,7790,false,0,false,false
15,53149,77740,00:00:53,00:01:17,24591,false,16351,true,false
16,69500,84090,00:01:09,00:01:24,14590,false,8240,true,false
17,77740,87040,00:01:17,00:01:27,9300,false,6350,true,false
18,84090,91189,00:01:24,00:01:31,7099,false,2950,true,false
19,87040,94159,00:01:27,00:01:34,7119,false,4149,true,false
20,91189,98633,00:01:31,00:01:38,7444,false,2970,true,false
21,94159,102259,00:01:34,00:01:42,8100,false,4474,true,false
